license_no,dba_name,aka_name,facility_type,risk_level,address,city,state,zip,latitude,longitude,ward
1,HARVEST CRUSADES MINISTRIES,,Special Event,2,118 N CENTRAL AVE ,CHICAGO,IL,60644,41.88284507,-87.76509545,29
2,COSI,,Restaurant,1,230 W MONROE ST ,CHICAGO,IL,60606,41.88075716,-87.6347093,42
9,XANDO COFFEE & BAR / COSI SANDWICH BAR,,Restaurant,1,116 S MICHIGAN AVE ,CHICAGO,IL,60603,41.88039584,-87.62450172,42
40,COSI,,Restaurant,1,233 N MICHIGAN AVE ,CHICAGO,IL,60601,41.88656737,-87.62438467,42
43,COSI,,,3,28 E JACKSON BLVD ,CHICAGO,IL,60604,41.87834161,-87.62667499,42
62,XANDO COFFEE & BAR / COSI SANDWICH BAR,,Restaurant,1,230 W WASHINGTON ST ,CHICAGO,IL,60606,41.88331786,-87.63476909,42
85,XANDO COFFEE & BAR / COSI SANDWICH BAR,,Restaurant,1,55 E GRAND AVE ,CHICAGO,IL,60611,41.89159074,-87.62586714,42
99,XANDO COFFEE & BAR / COSI SANDWICH BAR,COSI,Restaurant,1,203 N LA SALLE ST ,CHICAGO,IL,60601,41.88582205,-87.63230374,42
104,VITO & NICK'S LOUNGE,,,3,8433-8435 S PULASKI RD ,CHICAGO,IL,60652,41.73932941,-87.72143966,18
115,JOHN SCHALLER,,Restaurant,1,3714 S HALSTED ST ,CHICAGO,IL,60609,41.82718502,-87.64617046,11
139,KILDARE LIQUORS,,Restaurant,1,4300 W LAWRENCE AVE ,CHICAGO,IL,60630,41.96826704,-87.73549835,39
143,GEORGE BOZIC,,,3,1964 W LAWRENCE AVE ,CHICAGO,IL,60640,41.96887204,-87.67871953,47
146,JEAN SAMOCKI,,,3,2032 W ARMITAGE AVE ,CHICAGO,IL,60647,41.91784138,-87.67893683,32
147,Islands,,,3,3854-3856 N ASHLAND AVE ,CHICAGO,IL,60613,41.95225923,-87.66914435,47
149,FOX'S BEVERLY PUB,,Restaurant,1,9956 S WESTERN AVE ,CHICAGO,IL,60643,41.71201213,-87.68193541,19
153,JEFFERY PUB,,TAVERN,3,7041 S JEFFERY BLVD ,CHICAGO,IL,60649,41.76681807,-87.57617083,5
158,BURWOOD TAP,,Restaurant,3,724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,41.92920519,-87.64752249,43
164,POTASH BROS. SUPERMARKET,,Grocery Store,1,1525 N CLARK ST ,CHICAGO,IL,60610,41.91011794,-87.63149089,2
207,RIVER SHANNON,,Restaurant,2,425 W ARMITAGE AVE ,CHICAGO,IL,60614,41.91819779,-87.63974737,43
215,KAREGIANES INC,,,3,7043 W GRAND AVE ,CHICAGO,IL,60707,41.92343297,-87.80248081,29
218,LAURIE'S REST & COCKTAIL LOUNG,,Restaurant,1,5153 N BROADWAY ,CHICAGO,IL,60640,41.97616536,-87.65971548,48
229,69TH ST. CERTIFIED,,,2,1906 W 69TH ST ,CHICAGO,IL,60636,41.76857752,-87.67151318,17
239,OLD TIMERS REST & LOUNGE,,Restaurant,1,75 E LAKE ST ,CHICAGO,IL,60601,41.88562425,-87.6252965,42
241,HOP HAUS ROGERS PARK,,Restaurant,1,7541-7545 N CLARK ST ,CHICAGO,IL,60626,42.01890351,-87.67595815,49
244,HAROLD HANSON,,,3,2613 W FULLERTON AVE ,CHICAGO,IL,60647,41.92474047,-87.69313235,1
246,C AND K LIQUOR INC,,Grocery Store,3,12034 S MICHIGAN AVE ,CHICAGO,IL,60628,41.67527375,-87.62057528,9
255,MARIE WUCZYNSKI'S RIPTIDE,,Liquor,3,1745 W ARMITAGE AVE ,CHICAGO,IL,60622,41.91775523,-87.67198816,32
257,GEJA'S CAFE,,Restaurant,1,340 W ARMITAGE AVE ,CHICAGO,IL,60614,41.91844534,-87.63800743,43
260,PARK MANOR LOUNGE,KING'S CHINESE/PARK MANOR LOUNGE,Restaurant,1,7109 S DR MARTIN LUTHER KING JR DR ,CHICAGO,IL,60619,41.76539462,-87.61511045,6
265,THE CLOSET,,Liquor,3,3325 N BROADWAY ,CHICAGO,IL,60657,41.94264743,-87.64433254,44
271,ROMA'S REST,,Restaurant,1,9273 S SOUTH CHICAGO AVE ,CHICAGO,IL,60617,41.72672309,-87.55094326,10
289,SANDERS LOUNGE,,,3,700 W 59TH ST ,CHICAGO,IL,60621,41.7871761,-87.64259902,20
313,O'NEIL'S BAR & GRILL,,,3,152 E ONTARIO ST ,CHICAGO,IL,60611,41.89345959,-87.62337424,42
316,LINCOLN TAVERN & RESTAURANT,,Restaurant,1,1858 W WABANSIA AVE ,CHICAGO,IL,60622,41.91245647,-87.67501226,32
319,LITTLE JOE'S CIRCLE LOUNGE INC,,Restaurant,2,1041 W TAYLOR ST ,CHICAGO,IL,60607,41.86937118,-87.65278082,25
340,ALGIER LOUNGE,,Restaurant,2,5436 W MONTROSE AVE ,CHICAGO,IL,60641,41.96063356,-87.76381678,38
349,KELLY'S PUB,,Restaurant,1,949 W WEBSTER AVE ,CHICAGO,IL,60614,41.92163662,-87.65300408,43
353,SKYWAY LANES,,Restaurant,2,9915 S TORRENCE AVE ,CHICAGO,IL,60617,41.71488534,-87.55962172,10
366,H & L LIQUORS INC.,,,3,4709 N DAMEN AVE ,CHICAGO,IL,60625,41.96720264,-87.67899488,47
368,RITZ INN,,,3,3839 N LINCOLN AVE ,CHICAGO,IL,60613,41.95159798,-87.67681051,47
373,ALBET INVESTMENTS LTD,,,3,7463-7465 S VINCENNES AVE ,CHICAGO,IL,60621,41.75823401,-87.63117099,6
376,ALBET INVESTMENTS,,,3,7465 S VINCENNES AVE ,CHICAGO,IL,60621,41.75818264,-87.63119556,6
383,MIKES LIQUORS,,,3,3135 W MONTROSE AVE ,CHICAGO,IL,60618,41.96108392,-87.70724121,33
404,CELTIC CROWN,,Restaurant,1,4301 N WESTERN AVE ,CHICAGO,IL,60618,41.95953928,-87.6884838,47
407,THE MID DAY CLUB,,,3,76 W MONROE ST ,CHICAGO,IL,60603,41.8808097,-87.63058092,42
410,CAMBRIDGE HOUSE RESTAURANT,,,3,167 E OHIO ST ,CHICAGO,IL,60611,41.89244892,-87.62276317,42
415,VITANGELO'S PIZZA & RESTAURANT,,Restaurant,1,3644 W FULLERTON AVE ,CHICAGO,IL,60647,41.92469108,-87.71882929,31
429,TONY'S ITALIAN DELI,,Grocery Store,1,6708 N NORTHWEST HWY ,CHICAGO,IL,60631,42.00289469,-87.81656422,41
440,JERUSALEM LIQUORS,,Grocery Store,3,3133-3135 W LAWRENCE AVE ,CHICAGO,IL,60625,41.9683547,-87.70739432,33
473,Kinetic Playground,,Liquor,3,1113 W LAWRENCE AVE ,CHICAGO,IL,60640,41.96893557,-87.65820072,46
481,PIZZA LOUNGE,,,3,2801 W CHICAGO AVE ,CHICAGO,IL,60622,41.89554371,-87.69676464,26
525,MARQ LOUNGE,,TAVERN,3,5065-5067 W MADISON ST ,CHICAGO,IL,60644,41.88029764,-87.75236472,28
526,DI'S DEN,,Restaurant,3,5100-5104 W IRVING PARK RD ,CHICAGO,IL,60641,41.95343829,-87.75475433,45
556,RENALDI'S PIZZA,,Restaurant,1,2827 N BROADWAY ,CHICAGO,IL,60657,41.93353571,-87.64454293,44
574,ZAVEN INC,LE PETIT PARIS,Restaurant,1,260 E CHESTNUT ST ,CHICAGO,IL,60611,41.89856447,-87.61947058,2
600,GIL-TIKIE LOUNGE,,,3,9149 S ASHLAND AVE ,CHICAGO,IL,60620,41.72704145,-87.66266832,21
606,SOUL QUEEN RESTAURANT & LOUNGE,,,1,9031 S STONY ISLAND AVE ,CHICAGO,IL,60617,41.73051757,-87.58491993,8
613,CHINESE HOUSE RESTAURANT,,,3,5955 W BELMONT AVE ,CHICAGO,IL,60634,41.9383413,-87.77599556,30
632,FRANCES COCKTAIL LOUNGE,,TAVERN,3,307 E 75TH ST ,CHICAGO,IL,60619,41.75824795,-87.61796718,6
633,FRANCES COCKTAIL LOUNGE,,TAVERN,3,307 E 75TH ST ,CHICAGO,IL,60619,41.75824795,-87.61796718,6
644,MAXIM'S RESTAURANT INC,,Restaurant,1,20 N CLARK ST ,CHICAGO,IL,60602,41.88243401,-87.63103701,42
653,ZIEMEK CORP.,ZACHARY'S  FOR  COCKTAILS,Restaurant,3,5368 N MILWAUKEE AVE ,CHICAGO,IL,60630,41.97836393,-87.7703772,45
663,EL NUEVO GUADALAJARA INC,,Restaurant,1,4350 S ASHLAND AVE ,CHICAGO,IL,60609,41.81437322,-87.66526255,15
666,THE BAKED TOMATO,,Restaurant,1,4358-4360 N ELSTON AVE ,CHICAGO,IL,60641,41.95995193,-87.72849755,39
691,FOUR FARTHINGS TAVERN & GRILL,,Restaurant,1,2058-2060 N CLEVELAND AVE ,CHICAGO,IL,60614,41.92001599,-87.6414492,43
694,END ZONE TAP,,Liquor,3,10036 S WESTERN AVE ,CHICAGO,IL,60643,41.71077679,-87.68189948,19
697,SIXTY SIX O ONE CLUB,,Liquor,3,6601 S WESTERN AVE ,CHICAGO,IL,60636,41.77369581,-87.6833444,16
700,ORSO'S RESTAURANT,,Restaurant,1,1401 N WELLS ST ,CHICAGO,IL,60610,41.90774284,-87.63446079,27
704,NEW RIALTO LOUNGE,,,3,8038 S ASHLAND AVE ,CHICAGO,IL,60620,41.747366,-87.66350687,21
722,MARIA AGUIRRE,,,3,2857 S KEDVALE AVE ,CHICAGO,IL,60623,41.83883416,-87.72790458,22
724,MR T'S,HEILEMAN'S OLD STYLE,Liquor,3,3528 S INDIANA AVE ,CHICAGO,IL,60653,41.83023256,-87.62189182,3
732,WOODLAWN GARDENS,,LOUNGE/BANQUET HALL,1,1200 E 93RD ST ,CHICAGO,IL,60619,41.72595818,-87.5948176,8
740,CHRIS' BAR,,Restaurant,2,1610 W NORTH AVE ,CHICAGO,IL,60622,41.91073284,-87.66817769,32
747,GUIDE'S SPORTS CLUB,,Restaurant,2,5544 S ARCHER AVE ,CHICAGO,IL,60638,41.79799279,-87.74829736,14
753,LINCOLN RESTAURANT,,Restaurant,1,4008-4012 N LINCOLN AVE ,CHICAGO,IL,60618,41.95458102,-87.67921527,47
760,LAS QUINCE LETRAS,,Restaurant,1,2880 W CERMAK RD ,CHICAGO,IL,60623,41.85196403,-87.69882966,12
766,MUGS BUNNY,,TAVERN,3,13401 S BALTIMORE AVE ,CHICAGO,IL,60633,41.65176176,-87.54701265,10
774,ASI ES COLOMBIA INC,,,3,3908-3910 N LINCOLN AVE ,CHICAGO,IL,60613,41.95255491,-87.67780467,47
783,PORRETTA'S RESTAURANT INC,PORRETTA'S BANQUETS,Restaurant,1,3718 N CENTRAL AVE ,CHICAGO,IL,60634,41.94827472,-87.7669845,36
788,HILLTOP LIQUORS MART,,Grocery Store,3,10259 S MICHIGAN AVE ,CHICAGO,IL,60628,41.70724797,-87.62005636,9
800,RESI'S BIERSTUBE INC,RESI'S BIERSTUBE,Restaurant,1,2034 W IRVING PARK RD ,CHICAGO,IL,60618,41.95424367,-87.68030425,47
822,JOE'S FOOD & LIQUOR,,Grocery Store,1,3626 W LAWRENCE AVE ,CHICAGO,IL,60625,41.96844525,-87.71941658,35
833,STEVE'S LOUNGE,,Restaurant,1,13200 S BALTIMORE AVE ,CHICAGO,IL,60633,41.65541665,-87.54729079,10
845,ANDYS 11 EAST LOUNGE,ANDYS JAZZ CLUB,Restaurant,1,11 E HUBBARD ST ,CHICAGO,IL,60611,41.88996387,-87.62750692,42
849,PROHIBITION CLUB,,,3,5600 N MILWAUKEE AVE ,CHICAGO,IL,60646,41.98287042,-87.77448693,45
851,DELISI'S PIZZERIA,,,1,5806 N WESTERN AVE ,CHICAGO,IL,60659,41.98706947,-87.6897051,40
853,R J GRUNTS,,Restaurant,1,2054-2056 N LINCOLN PARK WEST ,CHICAGO,IL,60614,41.92003078,-87.63654555,43
857,TONYS PEKING GARDEN INC,,,1,5819 W BELMONT AVE ,CHICAGO,IL,60634,41.93839141,-87.77211895,30
896,KEN'S LOUNGE & REST,,,1,10522 S WESTERN AVE ,CHICAGO,IL,60643,41.70201547,-87.68162963,19
901,NORMAN'S FOOD & LIQUORS,,,3,6647 S HALSTED ST ,CHICAGO,IL,60621,41.77290241,-87.64446133,6
928,TEASER'S PUB,,Restaurant,2,7123 W HIGGINS AVE ,CHICAGO,IL,60656,41.9807262,-87.80571278,41
951,MITCHELL LOUNGE,,,3,2005 W 69TH ST ,CHICAGO,IL,60636,41.76832753,-87.67389581,17
955,FREDY'S INN,FRANK & MARY'S,Restaurant,1,2905 N ELSTON AVE ,CHICAGO,IL,60618,41.93416814,-87.69047826,33
957,BOB'S LIQUORS & GROCERIES,,Grocery Store,3,5069 W MADISON ST ,CHICAGO,IL,60644,41.88029609,-87.7524942,28
968,CHEZ MOI,,Restaurant,1,2100 N HALSTED ST ,CHICAGO,IL,60614,41.92008219,-87.64872471,43
971,ATHENS GROCERY,,GROCERY/LIQUOR,2,324 S HALSTED ST ,CHICAGO,IL,60661,41.87716213,-87.64736429,27
990,FALCO'S PIZZA,,Restaurant,1,2806 W 40TH PL ,CHICAGO,IL,60632,41.82023097,-87.69487471,12
994,WILLIAMS INN,LULA'S INC,Restaurant,1,5701 S ASHLAND AVE ,CHICAGO,IL,60636,41.79029803,-87.66434168,16
1011,FITZGERALD'S LIQUORS,,,3,8700 S YATES BLVD ,CHICAGO,IL,60617,41.7372186,-87.56617609,8
1017,MEMBERS ONLY,,,3,4518 S MCDOWELL AVE ,CHICAGO,IL,60609,41.81183576,-87.66101297,15
1019,RED'S NEW GENERATION,,,3,6924 S STONY ISLAND AVE ,CHICAGO,IL,60649,41.76896702,-87.58646327,5
1043,GRAND RIVER,,Restaurant,2,3032 N LINCOLN AVE ,CHICAGO,IL,60657,41.93677981,-87.6648345,32
1046,B & B GROCERY LIQUOR INC,,,3,5337 W MADISON ST ,CHICAGO,IL,60644,41.8802118,-87.75905986,29
1052,ONE ELEVEN FOOD & LIQUOR INC,,Grocery Store,2,111 N KEDZIE AVE ,CHICAGO,IL,60612,41.88323494,-87.7060367,27
1058,LATIN AMERICAN REST & LOUNGE,,Restaurant,1,2743 W DIVISION ST ,CHICAGO,IL,60622,41.90282133,-87.6961433,26
1060,ZIGGY'S SIDE DOOR PUB & DELI,,Restaurant,1,6158 W 63RD ST ,CHICAGO,IL,60638,41.77787867,-87.77632371,13
1064,MI TIERRA-SOUTH,,Restaurant,1,2528 S KEDZIE AVE ,CHICAGO,IL,60623,41.84545141,-87.70521429,12
1077,MONK'S PUB,,Restaurant,1,205-207 W LAKE ST ,CHICAGO,IL,60606,41.88561849,-87.63412236,42
1094,ONE STOP FOOD & LIQUOR STORE,,Grocery Store,2,4301-4323 S LAKE PARK AVE ,CHICAGO,IL,60653,41.81686515,-87.59868884,4
1111,MY PLACE,,tavern,3,2212 W TOUHY AVE ,CHICAGO,IL,60645,42.012354,-87.6867325,49
1129,INTERNATIONAL FOODS NW INC,,Grocery Store,2,4404 W FULLERTON AVE ,CHICAGO,IL,60639,41.92447264,-87.7367895,31
1146,CANTONESIA INC,,,1,204 W CERMAK RD ,CHICAGO,IL,60616,41.85295755,-87.63230522,25
1168,BEEF AND BRANDY RESTAURANT,,Restaurant,1,127 S STATE ST ,CHICAGO,IL,60603,41.87998273,-87.62757519,42
1179,GARBACZEWSKI CORP,,,3,4465 S ARCHER AVE ,CHICAGO,IL,60632,41.81205449,-87.70733017,14
1184,KOLMAR LOUNGE,,,3,4535 W MARQUETTE RD ,CHICAGO,IL,60629,41.7711055,-87.73610595,13
1187,SADDLE AND CYCLE CLUB,,Restaurant,1,900 W FOSTER AVE ,CHICAGO,IL,60640,41.97654173,-87.65265764,48
1192,SABATINOS INC,SABATINOS,Restaurant,1,4441-4443 W IRVING PARK RD ,CHICAGO,IL,60641,41.95340286,-87.73960223,45
1196,SNUGGERY / APARTMENT,SNUGGERY,Restaurant,1,15 W DIVISION ST ,CHICAGO,IL,60610,41.90382088,-87.62932853,2
1202,CLUB 81 INC,,,1,13157 S AVENUE M ,CHICAGO,IL,60633,41.65561555,-87.53732679,10
1203,CLUB 81 INC,,,1,13157 S AVENUE M ,CHICAGO,IL,60633,41.65561555,-87.53732679,10
1206,GOUDY ELEMENTARY,,School,1,5120 N WINTHROP AVE ,CHICAGO,IL,60640,41.97581137,-87.65794915,48
1212,BRUNA'S CAFE,,Restaurant,1,2424 S OAKLEY AVE ,CHICAGO,IL,60608,41.84757384,-87.68321584,25
1214,FOREMOST LIQUORS,,Liquor,3,3301 W NORTH AVE ,CHICAGO,IL,60647,41.90997097,-87.70949762,26
1219,MOODY'S RESTAURANT INC,MOODY'S RESTAURANT,Restaurant,1,5908 N BROADWAY ,CHICAGO,IL,60660,41.9893336,-87.66039461,48
1226,EDDIE'S FOOD & LIQUOR,,Grocery Store,2,9807 S COTTAGE GROVE AVE ,CHICAGO,IL,60628,41.71633045,-87.60435027,8
1242,PALM RESTAURANT,,Restaurant,1,323 E WACKER DR ,CHICAGO,IL,60601,41.88755604,-87.61965509,42
1246,BREHON PUB,,Restaurant,1,731-733 N WELLS ST ,CHICAGO,IL,60610,41.89564749,-87.63402986,2
1254,B AND J RESTAURANT INC,DINO'S PIZZA,Restaurant,1,7004-7006 W HIGGINS AVE ,CHICAGO,IL,60656,41.98026875,-87.80254235,41
1259,Red Pepper's Lounge,,Restaurant,2,426 E 87TH ST ,CHICAGO,IL,60619,41.73662997,-87.61333322,6
1261,IRVING PARK LANES,,Restaurant,2,5708 W IRVING PARK RD ,CHICAGO,IL,60634,41.95325038,-87.76982734,38
1292,ARCH VIEW RESTAURANT,no signage,Restaurant,3,3115 S ARCHER AVE ,CHICAGO,IL,60608,41.83730605,-87.66613305,12
1303,TREASURE ISLAND FOODS INC,TREASURE ISLAND,Grocery Store,1,75 W ELM ST ,CHICAGO,IL,60610,41.90302614,-87.63134877,2
1307,TREASURE ISLAND FOODS,,Grocery Store,1,1639 N WELLS ST ,CHICAGO,IL,60614,41.9123118,-87.63459886,2
1311,TREASURE ISLAND FOODS,,Grocery Store,1,3460 N BROADWAY ,CHICAGO,IL,60657,41.94482827,-87.64589349,44
1315,TREASURE ISLAND FOODS,,Grocery Store,1,2121 N CLYBOURN AVE ,CHICAGO,IL,60614,41.91989968,-87.66180554,2
1319,TREASURE ISLAND FOODS,,Grocery Store,1,680 N LAKE SHORE DR ,CHICAGO,IL,60611,41.89479837,-87.61586665,42
1323,JEWEL FOOD STORE #3443,,Grocery Store,1,5343 N BROADWAY ,CHICAGO,IL,60640,41.97942825,-87.65980585,48
1325,JEWEL FOOD STORE #3454,,Grocery Store,1,4250 N LINCOLN AVE ,CHICAGO,IL,60618,41.95910043,-87.68239224,47
1329,JEWEL FOOD STORE #3430,JEWEL,Grocery Store,1,3630 N SOUTHPORT AVE ,CHICAGO,IL,60613,41.94800455,-87.66418623,44
1333,JEWEL FOOD STORE #3210,JEWEL FOOD STORE,Grocery Store,1,1210 N CLARK ST ,CHICAGO,IL,60610,41.90426523,-87.63160329,2
1337,JEWEL FOOD STORE #3282,JEWEL FOOD STORE,Grocery Store,1,4729 N CENTRAL AVE ,CHICAGO,IL,60630,41.96679711,-87.76729948,45
1356,JEWEL FOOD STORE #3139,,Grocery Store,1,3940 E 106TH ST ,CHICAGO,IL,60617,41.7028061,-87.52770401,10
1362,MONTESSORI OF ENGLEWOOD,,School,1,6936 S HERMITAGE AVE ,CHICAGO,IL,60636,41.76739834,-87.66767589,17
1366,JEWEL FOOD STORE #3170,JEWEL / OSCO,Grocery Store,1,5320 S PULASKI RD ,CHICAGO,IL,60632,41.79619759,-87.72339188,23
1368,JEWEL FOOD STORE #3181,,Grocery Store,1,87 W 87TH ST ,CHICAGO,IL,60620,41.73614513,-87.62691784,21
1370,JEWEL FOOD STORE #3089,,Grocery Store,1,11414 S HALSTED ST ,CHICAGO,IL,60628,41.68641398,-87.64233995,34
1372,JEWEL FOOD STORE #3477,,Grocery Store,1,4734 N CUMBERLAND AVE ,CHICAGO,IL,60656,41.9660114,-87.83683117,38
1375,JEWEL FOOD STORE #3441,,Grocery Store,1,2940 N ASHLAND AVE ,CHICAGO,IL,60657,41.93547203,-87.66865454,32
1380,JEWEL FOOD STORE #3455,,Grocery Store,1,4355 N SHERIDAN RD ,CHICAGO,IL,60613,41.96139778,-87.65459297,46
1382,JEWEL FOOD STORE #3470,,Grocery Store,1,3570 N ELSTON AVE ,CHICAGO,IL,60618,41.9460576,-87.70823011,35
1385,JEWEL FOOD STORE #3514,,Grocery Store,1,3531 N BROADWAY ,CHICAGO,IL,60657,41.94638465,-87.64652486,46
1387,GROVER CLEVELAND ELEMENTARY SCHOOL,,School,1,3121 W Byron ,CHICAGO,IL,60618,41.9520147,-87.70642927,33
1388,JEWEL FOOD STORE #3114,,Grocery Store,1,3128 W 103RD ST ,CHICAGO,IL,60655,41.70631284,-87.69976712,19
1392,JEWEL FOOD STORE #3296,,Grocery Store,1,7342 W FOSTER AVE ,CHICAGO,IL,60656,41.97454295,-87.81134688,41
1394,JEWEL FOOD STORE #3407,JEWEL FOOD STORE,Grocery Store,1,5516 N CLARK ST ,CHICAGO,IL,60640,41.98218988,-87.66865163,40
1398,JEWEL FOOD STORE #3241,,Grocery Store,1,1341 N PAULINA ST ,CHICAGO,IL,60622,41.9062437,-87.66986228,1
1400,JEWEL FOOD STORE #3057,,Grocery Store,1,6057 S WESTERN AVE ,CHICAGO,IL,60636,41.78306114,-87.68359887,16
1402,JEWEL FOOD STORE #3302,,Grocery Store,1,3644 S ARCHER AVE ,CHICAGO,IL,60609,41.8275839,-87.68245444,12
1404,JEWEL FOOD STORE #3176,,Grocery Store,1,9400 S ASHLAND AVE ,CHICAGO,IL,60620,41.72294122,-87.66286287,21
1406,JEWEL FOOD STORE #3442,,Grocery Store,1,4042 W FOSTER AVE ,CHICAGO,IL,60630,41.97562411,-87.72984456,39
1409,JEWEL FOOD STORES #3262,,Grocery Store,1,4660 W IRVING PARK RD ,CHICAGO,IL,60641,41.95355444,-87.74505531,45
1411,JEWEL FOOD STORE #3092,,Grocery Store,1,1655 E 95TH ST ,CHICAGO,IL,60617,41.7222632,-87.58291763,7
1418,IRYS,,,3,2922 N MILWAUKEE AVE ,CHICAGO,IL,60618,41.9342233,-87.71608658,35
1425,KIRKWOOD BAR & GRILL,,Restaurant,1,2934-36 N SHEFFIELD AVE ,CHICAGO,IL,60657,41.93546443,-87.65410203,44
1429,MR G'S FOOD & LIQUOR,,Grocery Store,2,332-334 E 58TH ST ,CHICAGO,IL,60637,41.78942986,-87.61784034,20
1434,GROUCHO'S BAR & GRILL,,Restaurant,2,8355 S PULASKI RD ,CHICAGO,IL,60652,41.74051514,-87.72147836,18
1447,J V ENTERPRISES INC,MARQUETTE INN,Restaurant,1,60 W ADAMS ST ,CHICAGO,IL,60603,41.87953523,-87.63002421,42
1448,J V ENTERPRISES INC,MARQUETTE INN,Restaurant,3,60 W ADAMS ST ,CHICAGO,IL,60603,41.87953523,-87.63002421,42
1450,St. Ann School,,School,1,2211 W 18th PL ,CHICAGO,IL,60608,41.8565836,-87.68150295,25
1462,QUENCHER'S INC,,Restaurant,2,2401-2403 N WESTERN AVE ,CHICAGO,IL,60647,41.924942,-87.6874964,1
1470,VILLA PALERMO INC,VILLA PALERMO PIZZA,Restaurant,1,2154 W DEVON AVE ,CHICAGO,IL,60659,41.99792642,-87.68478486,50
1474,HIDE OUT INC,,Liquor,3,1354 W WABANSIA AVE ,CHICAGO,IL,60622,41.91378441,-87.6624471,2
1491,BLACKIE'S,,Restaurant,1,755 S CLARK ST ,CHICAGO,IL,60605,41.87236137,-87.6304672,4
1495,JOY FOOD & LIQ,,,3,526 E 43RD ST ,CHICAGO,IL,60653,41.8168135,-87.61300231,4
1503,EL TIPICO,,,3,1834 W FOSTER AVE ,CHICAGO,IL,60640,41.97618724,-87.67626491,40
1511,SUPER GIANT FOOD,,,3,420 S PULASKI RD ,CHICAGO,IL,60624,41.87453731,-87.7255969,28
1516,EL MORRO INC,,,1,3101 W LAWRENCE AVE ,CHICAGO,IL,60625,41.96836524,-87.70609201,33
1525,EL NUEVO MEXICANO,,Restaurant,1,2914 N CLARK ST ,CHICAGO,IL,60657,41.9351819,-87.64698741,44
1529,MARIE'S LIQUORS INC.,MARIE'S PIZZA & LIQUORS,Restaurant,1,4127-4129 W LAWRENCE AVE ,CHICAGO,IL,60630,41.96809026,-87.73166809,39
1542,MELLOW YELLOW,,Restaurant,1,1508 E 53RD ST ,CHICAGO,IL,60615,41.79965621,-87.58873571,4
1548,RUDY'S LOUNGE,,TAVERN,3,5101 S UNION AVE ,CHICAGO,IL,60609,41.80154127,-87.64275056,3
1553,PEPE TACO,,Restaurant,1,11652 S WESTERN AVE ,CHICAGO,IL,60643,41.68109249,-87.68096792,19
1555,D'AGOSTINO'S PIZZA,,Restaurant,1,1351 W ADDISON ST ,CHICAGO,IL,60613,41.9469642,-87.6636616,44
1559,IN & OUT FOOD CORP,,,2,6754 W 63RD ST ,CHICAGO,IL,60638,41.77764499,-87.79079419,13
1567,J AND P FINER FOODS,,Grocery Store,3,3501 W MONTROSE AVE ,CHICAGO,IL,60618,41.96098859,-87.71564632,35
1574,GOLDEN TIARA LTD,,Restaurant,1,3231 N CICERO AVE ,CHICAGO,IL,60641,41.93978704,-87.74674561,30
1578,1000 LIQUORS / BIG CITY TAP,,Restaurant,1,1000-1012 W BELMONT AVE ,CHICAGO,IL,60657,41.94002036,-87.65417211,44
1585,DON CARLOS RESTAURANT,,Restaurant,1,1536-1538 N PULASKI RD ,CHICAGO,IL,60651,41.90922529,-87.72663584,26
1588,JOHN VELIOTIS SR.,JOHN O'S,Restaurant,2,3465 S MORGAN ST ,CHICAGO,IL,60608,41.83079178,-87.65082245,11
1594,LAWN SUPER FOOD MART INC,,,1,10601 S PULASKI RD ,CHICAGO,IL,60655,41.70035527,-87.7205409,19
1598,BROWN SUGAR LOUNGE,,Liquor,3,2674 W MADISON ST ,CHICAGO,IL,60612,41.88120077,-87.69384383,27
1599,BACCHANALIA REST & LNG,BACCHANALIA RISTORANTE,Restaurant,1,2413 S OAKLEY AVE ,CHICAGO,IL,60608,41.84804402,-87.68293718,25
1610,HEINZE LIQUORS,,,3,1021 W MONTROSE AVE ,CHICAGO,IL,60613,41.96165531,-87.65564994,46
1617,TATRA INN INC,,,3,6038 S PULASKI RD ,CHICAGO,IL,60629,41.78296713,-87.72302765,23
1650,KINGSTON MINES,,Restaurant,1,2548-2550 N HALSTED ST ,CHICAGO,IL,60614,41.92872348,-87.64902258,43
1655,HELLAS GYROS INC,HELLAS GYROS,Restaurant,1,1133 W BRYN MAWR AVE ,CHICAGO,IL,60660,41.98352468,-87.65939689,48
1673,RON OF JAPAN INC,RON OF JAPAN,Restaurant,1,230 E ONTARIO ST ,CHICAGO,IL,60611,41.89348368,-87.62188277,42
1675,J R FOOD AND LIQUORS,,,3,3356 N PAULINA ST ,CHICAGO,IL,60657,41.94319247,-87.67133728,47
1693,CARNICERIA JIMENEZ INC,,Grocery Store,1,4204-4216 W NORTH AVE ,CHICAGO,IL,60639,41.90992525,-87.73155722,26
1698,LA PERLA TAPATIA BAKERY,,Bakery,2,4214 W NORTH AVE ,CHICAGO,IL,60639,41.90991975,-87.73197126,26
1699,ST. PASCAL,,School,1,6143 W IRVING PARK RD ,CHICAGO,IL,60634,41.95288059,-87.78097044,38
1700,LA PERLA TAPATIA #2,,Bakery,2,3800-03810 W FULLERTON AVE ,CHICAGO,IL,60647,41.9246512,-87.72194545,31
1707,LOMALINDA CORP.,,,3,2658 S TRUMBULL AVE ,CHICAGO,IL,60623,41.84269573,-87.71122799,22
1710,ST. MARGARET MARY SCHOOL,,School,1,7318 N OAKLEY ,CHICAGO,IL,60645,42.01466042,-87.68767735,50
